Date	Weekday	Time_string	ID		
11/13/2017	MON	8:15-9:15	1		
11/13/2017	MON	9:30-10:30	2		
11/13/2017	MON	10:45-11:45	3		
11/13/2017	MON	12:30-13:30	4		
11/13/2017	MON	13:45-14:45	5		
11/13/2017	MON	15:0-16:0	6		
11/13/2017	MON	16:15-17:15	7		
11/13/2017	MON	17:30-18:30	8		
11/14/2017	TUE	8:15-9:15	9		
11/14/2017	TUE	9:30-10:30	10		
11/14/2017	TUE	10:45-11:45	11		
11/14/2017	TUE	12:30-13:30	12		
11/14/2017	TUE	13:45-14:45	13		
11/14/2017	TUE	15:0-16:0	14		
11/14/2017	TUE	16:15-17:15	15		
11/14/2017	TUE	17:30-18:30	16		
11/15/2017	WED	8:15-9:15	17		
11/15/2017	WED	9:30-10:30	18		
11/15/2017	WED	10:45-11:45	19		
11/15/2017	WED	12:30-13:30	20		
11/15/2017	WED	13:45-14:45	21		
11/15/2017	WED	15:0-16:0	22		
11/15/2017	WED	16:15-17:15	23		
11/15/2017	WED	17:30-18:30	24		
11/16/2017	THU	8:15-9:15	25		
11/16/2017	THU	9:30-10:30	26		
11/16/2017	THU	10:45-11:45	27		
11/16/2017	THU	12:30-13:30	28		
11/16/2017	THU	13:45-14:45	29		
11/16/2017	THU	15:0-16:0	30		
11/16/2017	THU	16:15-17:15	31		
11/16/2017	THU	17:30-18:30	32		
11/17/2017	FRI	8:15-9:15	33		
11/17/2017	FRI	9:30-10:30	34		
11/17/2017	FRI	10:45-11:45	35		
11/17/2017	FRI	12:30-13:30	36		
11/17/2017	FRI	13:45-14:45	37		
11/17/2017	FRI	15:0-16:0	38		
11/17/2017	FRI	16:15-17:15	39		
11/17/2017	FRI	17:30-18:30	40		
11/20/2017	MON	8:15-9:15	41		
11/20/2017	MON	9:30-10:30	42		
11/20/2017	MON	10:45-11:45	43		
11/20/2017	MON	12:30-13:30	44		
11/20/2017	MON	13:45-14:45	45		
11/20/2017	MON	15:0-16:0	46		
11/20/2017	MON	16:15-17:15	47		
11/20/2017	MON	17:30-18:30	48		
11/21/2017	TUE	8:15-9:15	49		
11/21/2017	TUE	9:30-10:30	50		
11/21/2017	TUE	10:45-11:45	51		
11/21/2017	TUE	12:30-13:30	52		
11/21/2017	TUE	13:45-14:45	53		
11/21/2017	TUE	15:0-16:0	54		
11/21/2017	TUE	16:15-17:15	55		
11/21/2017	TUE	17:30-18:30	56		
