ID	Dato	Timeslot	Timeslot_ID	Ressource_type	Ressource_type_ID
1	11/13/2017	8:15-9:15	1	SEMINAR_ROOM	0
2	11/13/2017	9:30-10:30	2	SEMINAR_ROOM	0
3	11/13/2017	10:45-11:45	3	SEMINAR_ROOM	0
4	11/13/2017	12:30-13:30	4	SEMINAR_ROOM	0
5	11/13/2017	13:45-14:45	5	SEMINAR_ROOM	0
6	11/13/2017	15:00-16:00	6	SEMINAR_ROOM	0
7	11/13/2017	16:15-17:15	7	SEMINAR_ROOM	0
8	11/13/2017	17:30-18:30	8	SEMINAR_ROOM	0
9	11/21/2017	16:15-17:15	55	SEMINAR_ROOM	0
10	11/21/2017	17:30-18:30	56	SEMINAR_ROOM	0
11	11/13/2017	8:15-9:15	1	SEMINAR_ROOM	0
12	11/13/2017	10:45-11:45	2	SEMINAR_ROOM	0
13	11/13/2017	10:45-11:45	3	SEMINAR_ROOM	0
14	11/20/2017	13:45-14:45	45	SEMINAR_ROOM	0
15	11/20/2017	15:00-16:00	46	SEMINAR_ROOM	0
16	11/20/2017	16:15-17:15	47	SEMINAR_ROOM	0
17	11/20/2017	17:30-18:30	48	SEMINAR_ROOM	0
18	11/21/2017	8:15-9:15	49	SEMINAR_ROOM	0
19	11/21/2017	10:45-11:45	50	SEMINAR_ROOM	0
20	11/13/2017	8:15-9:15	1	SEMINAR_ROOM	0
21	11/13/2017	10:45-11:45	2	SEMINAR_ROOM	0
22	11/13/2017	8:15-9:15	1	AUDITORIUM	3
23	11/13/2017	10:45-11:45	2	AUDITORIUM	3
24	11/14/2017	9:30-10:30	10	AUDITORIUM	3
25	11/14/2017	16:15-17:15	15	AUDITORIUM	3
26	11/15/2017	12:30-13:30	20	AUDITORIUM	3
27	11/16/2017	8:15-9:15	25	AUDITORIUM	3
28	11/16/2017	9:30-10:30	26	AUDITORIUM	3
29	11/16/2017	10:45-11:45	27	AUDITORIUM	3
30	11/16/2017	12:30-13:30	28	AUDITORIUM	3
31	11/16/2017	13:45-14:45	29	AUDITORIUM	3
32	11/16/2017	15:00-16:00	30	AUDITORIUM	3
33	11/16/2017	16:15-17:15	31	AUDITORIUM	3
34	11/16/2017	17:30-18:30	32	AUDITORIUM	3
35	11/17/2017	10:45-11:45	35	AUDITORIUM	3
36	11/17/2017	13:45-14:45	37	AUDITORIUM	3
37	11/17/2017	16:15-17:15	39	AUDITORIUM	3
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
